"RECORD_DATE","RECORD_VALUE","RECORD_CATEGORY_ID","UNIT_ID","CREATED_BY","UPDATED_BY","VERSION"
"2015-01-02 00:00:00","3408","2","2","init","init","1"
"2015-02-01 00:00:00","3681","2","2","init","init","1"
"2015-03-01 00:00:00","3915","2","2","init","init","1"
"2015-04-02 00:00:00","4161","2","2","init","init","1"
"2015-05-06 00:00:00","4378","2","2","init","init","1"
"2015-06-01 00:00:00","4501","2","2","init","init","1"
"2015-07-02 00:00:00","4647","2","2","init","init","1"
"2015-08-01 00:00:00","4775","2","2","init","init","1"
"2015-09-03 00:00:00","4909","2","2","init","init","1"
"2015-10-01 00:00:00","5026","2","2","init","init","1"
"2015-11-01 00:00:00","5226","2","2","init","init","1"
"2015-12-04 00:00:00","5467","2","2","init","init","1"
"2016-01-01 00:00:00","5690","2","2","init","init","1"
"2016-02-01 00:00:00","5935","2","2","init","init","1"
"2016-03-01 00:00:00","6156","2","2","init","init","1"
"2016-04-01 00:00:00","6371","2","2","init","init","1"
"2016-05-01 00:00:00","6578","2","2","init","init","1"
"2016-06-01 00:00:00","6711","2","2","init","init","1"
"2016-07-01 00:00:00","6867","2","2","init","init","1"
"2016-08-01 00:00:00","7001","2","2","init","init","1"
"2016-09-01 00:00:00","7112","2","2","init","init","1"
"2016-10-01 00:00:00","7265","2","2","init","init","1"
"2016-11-03 00:00:00","7481","2","2","init","init","1"
"2016-12-02 00:00:00","7707","2","2","init","init","1"
"2017-01-01 00:00:00","7970","2","2","init","init","1"
"2017-02-01 00:00:00","8252","2","2","init","init","1"
"2017-03-03 00:00:00","8480","2","2","init","init","1"
"2017-04-01 00:00:00","8688","2","2","init","init","1"
"2017-05-07 00:00:00","8930","2","2","init","init","1"
"2017-06-03 00:00:00","9090","2","2","init","init","1"
"2017-07-01 00:00:00","9257","2","2","init","init","1"
"2017-08-04 00:00:00","9461","2","2","init","init","1"
"2017-09-04 00:00:00","9642","2","2","init","init","1"
"2017-10-01 00:00:00","9830","2","2","init","init","1"
"2017-11-05 00:00:00","10104","2","2","init","init","1"
"2017-12-01 00:00:00","10332","2","2","init","init","1"
"2018-01-03 00:00:00","10667","2","2","init","init","1"
"2018-01-31 00:00:00","10937","2","2","init","init","1"
"2018-02-28 00:00:00","11218","2","2","init","init","1"
"2018-03-31 00:00:00","11504","2","2","init","init","1"
"2018-05-01 00:00:00","11728","2","2","init","init","1"
"2018-06-02 00:00:00","11914","2","2","init","init","1"
